Termekek																															
M, ha módosult a rekord	Termék ID	Terméknév	Kódszám	Termékméret ID	Méret neve	Súly	Zárásmód ID	Zárásmód neve	Ablakméret ID	Ablakméret neve	Ablakhely ID	Ablakhey neve	Papírtípus ID	Papírtípus neve	Redõtalp	Gyártó ID	Cégnév	KSH Kód	Csomag egység	Minimum raktárkészlet	Maximum raktárkészlet	Doboz súlya	Raklap db	Doboz hossza	Doboz szélessége	Doboz magassága	Megjegyzés	Megjelenés mettõl	Megjelenés meddig	Dátum	Törölt
M	1	tévé	D-001	1	A5	1	1	Tépõzáras	1	Közepes	1	A4	1	Fényes	van	1	Pack Zrt.	K452	0	1	100	1	30	10	10	50	ide írhatok bármit is	2014.07.01	2014.07.31	2014.07.25 12:44	1
M	2	rádijó	wer	1	A5	123	1	Tépõzáras	1	Közepes	1	A4	1	Fényes	123	1	Pack Zrt.	1111	1	1	1	1	1	1	1	1	1	2014.08.20	2014.08.27	2014.08.05 21:39	1
M	3	Kocka4	7	1	A5	123	1	Tépõzáras	1	Közepes	1	A4	1	Fényes	123	1	Pack Zrt.	1111	1	1	1	1	1	1	1	1	jdhsgf-eashg	2014.08.19	2014.08.20	2014.08.05 21:43	0
	4	szereti	8	1	A5	123	1	Tépõzáras	1	Közepes	1	A4	1	Fényes	123	1	Pack Zrt.	1111	1	1	1	6	7	1	1	1	mjgi.u	2014.08.22	2014.08.28	2014.08.05 21:43	0
	5	Gombit	6	1	A5	123	1	Tépõzáras	1	Közepes	1	A4	1	Fényes	123	1	Pack Zrt.	1111	1	1	1	6	7	1	1	1	nhcfmsrkz	2014.08.10	2014.08.07	2014.08.05 21:44	0
	6	Gombi	kdshf-sd	1	A5	2345	1	Tépõzáras	1	Közepes	1	A4	1	Fényes	45	1	Pack Zrt.	2376	398	2937	282	234	12345	2826	3	2338	ef.fjh-dsgjháfds	2014.08.23	2014.08.29	2014.08.05 21:46	0
	7	szereti	48	1	A5	23	1	Tépõzáras	1	Közepes	1	A4	1	Fényes	23	1	Pack Zrt.	48	39	38	39	4	39	48	39	32	ehdsfdsg	2014.08.07	2014.08.10	2014.08.05 21:47	0
	8	Kockát	2	1	A5	3	1	Tépõzáras	1	Közepes	1	A4	1	Fényes	5	1	Pack Zrt.	3	4	5	5	55	5	5	5	5	gléfrdmgdf	2014.08.27	2014.08.22	2014.08.05 21:49	0
	9	így	4	1	A5	4	1	Tépõzáras	1	Közepes	1	A4	1	Fényes	4	1	Pack Zrt.	6	7	7	7	7	7	7	7	7	rs-gtijreáj	2014.08.12	2014.08.20	2014.08.05 21:50	0
	10	teljes	3	1	A5	4	1	Tépõzáras	1	Közepes	1	A4	1	Fényes	4	1	Pack Zrt.	3	33	3	3	3	3	3	3	4	esfjgsf	2014.08.12	2014.08.10	2014.08.05 21:51	0
	11	a lét körforgása	3	1	A5	4	1	Tépõzáras	1	Közepes	1	A4	1	Fényes	4	1	Pack Zrt.	3	3	3	3	3	3	3	3	4	rtrszh	2014.08.20	2014.08.08	2014.08.05 21:51	0
